gene,trait,p_acat,n_tissues,in_both
DNAJB6,DPN,4.894137006745089e-16,2,True
DNAJB6,DR,0.023147763830722357,2,True
DNAJC13,DN,0.020048068011932946,1,False
DNAJC13,DPN,0.0001122203696996454,1,False
DNAJC13,DR,0.02533975556306923,1,False
DNAJC3,DN,0.20094424739505698,2,True
DNAJC3,DPN,1.0,2,True
DNAJC3,DR,1.0,2,True
DNAJC4,DN,0.04306037328161538,2,True
DNAJC4,DPN,6.808597990450534e-20,2,True
DNAJC4,DR,6.704212816071373e-17,2,True
DNAJC8,DN,7.540581602490514e-36,1,True
DNAJC8,DPN,0.2953181859613585,1,True
DNAJC8,DR,2.218305254306734e-05,1,True
DNAJC9,DN,0.0011732646129293666,2,True
DNAJC9,DPN,1.3283158428199217e-08,2,True
DNAJC9,DR,1.4804010118803345e-18,2,True
DNLZ,DN,6.758951621891934e-73,2,True
DNLZ,DPN,3.991588097713819e-116,2,True
DNLZ,DR,4.136812768504957e-296,2,True
DNTTIP1,DN,1.0,2,True
DNTTIP1,DPN,0.007983603632886794,2,True
DNTTIP1,DR,0.001939959792114677,2,True
DPY30,DN,0.1914186477360048,1,False
DPY30,DPN,0.15324936837381373,1,False
DPY30,DR,3.5669535761261446e-09,1,False
DYNC1LI1,DN,0.17546942122833337,2,True
DYNC1LI1,DPN,0.07414139535778815,2,True
DYNC1LI1,DR,0.0023307178392052903,2,True
DYNLRB1,DN,0.1199752942779543,1,True
DYNLRB1,DPN,0.5783700069524957,1,True
DYNLRB1,DR,0.4084649269348052,1,True
E2F4,DN,0.00017967802729504912,2,True
E2F4,DPN,5.0061361447387415e-06,2,True
E2F4,DR,1.0,2,True
E4F1,DN,0.5730377237966955,1,False
E4F1,DPN,0.7028492845158281,1,False
E4F1,DR,0.9747203178566575,1,False
EAPP,DN,0.5381590805606853,1,True
EAPP,DPN,0.38859452876043066,1,True
EAPP,DR,0.1344078031586834,1,True
EBAG9,DN,0.40059155260071183,1,False
EBAG9,DPN,0.18299883235335002,1,False
EBAG9,DR,1.0695422730434364e-24,1,False
EBNA1BP2,DN,0.0007156634869957036,1,False
EBNA1BP2,DPN,0.25095083354465225,1,False
EBNA1BP2,DR,0.00918331226939117,1,False
EGLN2,DN,9.999999999999999e-301,2,True
EGLN2,DPN,1.0849623766868763e-39,2,True
EGLN2,DR,1.8899843223795554e-37,2,True
ELOF1,DN,0.04679846937862037,2,True
ELOF1,DPN,0.4149452461553763,2,True
ELOF1,DR,1.0,2,True
EMC2,DN,0.18482196318981448,2,True
EMC2,DPN,1.0,2,True
EMC2,DR,0.00021847423306554288,2,True
EMC3,DN,7.003423704304049e-21,1,False
EMC3,DPN,0.5898242612160209,1,False
EMC3,DR,0.006050455303554756,1,False
EMC4,DN,0.00011759028958918219,2,True
EMC4,DPN,0.0005778837534966033,2,True
EMC4,DR,0.0005092454770079535,2,True
EMC6,DN,1.0,2,True
EMC6,DPN,0.004157606833584654,2,True
