gene,trait,grp,z_Nerve_Tibial,z_Whole_Blood,n_snps_matched_NT,n_snps_matched_WB,p_ACAT_O,n_tissues,z_ACAT_O
JAZF1,DR,30 T2DM Control,0.0652,-2.429,2.0,2.0,0.02127516035581886,2,2.303065459245544
KCNJ11,DN,30 T2DM Control,0.351,0.2828,2.0,1.0,1.0,2,1.8669045833583425e-59
KCNJ11,DPN,30 T2DM Control,-0.0405,0.7245,2.0,1.0,1.0,2,-1.8669045833583425e-59
KCNJ11,DR,30 T2DM Control,0.1812,1.6434,2.0,1.0,0.2489249054069996,2,1.1529646228972328
KDM4B,DN,HK_v2,-8.8877,,1.0,,6.238685550146981e-19,1,-8.887699999999999
KDM4B,DPN,HK_v2,-13.5322,,1.0,,1.0095641893716025e-41,1,-13.5322
KDM4B,DR,HK_v2,-8.5334,,1.0,,1.4210829135041334e-17,1,-8.5334
KLF14,DN,30 T2DM Control,,0.5242,,1.0,0.6001394409052488,1,0.5242
KLF14,DPN,30 T2DM Control,,-0.5335,,1.0,0.5936875110370832,1,-0.5334999999999999
KLF14,DR,30 T2DM Control,,1.4375,,1.0,0.15057597282484683,1,1.4375
LSM12,DN,HK_v2,-2.7264,-9.0465,2.0,1.0,1.476242183585955e-19,2,-9.046499999999998
LSM12,DPN,HK_v2,-4.8388,-16.3283,2.0,1.0,6.209049162168203e-60,2,-16.3283
LSM12,DR,HK_v2,-6.6477,-9.6478,2.0,1.0,5.022155646890707e-22,2,-9.64780000000173
MAPK1IP1L,DN,HK_v2,1.5295,2.2621,1.0,1.0,0.02011820522978169,2,2.3241360167253413
MAPK1IP1L,DPN,HK_v2,-1.5689,-2.1941,1.0,1.0,0.02294004281177715,2,-2.2744317080128944
MAPK1IP1L,DR,HK_v2,0.5306,0.2493,1.0,1.0,1.0,2,1.8669045833583425e-59
MCMBP,DN,HK_v2,3.1773,3.8403,1.0,2.0,0.00011350152283280916,2,3.85975336356364
MCMBP,DPN,HK_v2,-5.2549,-3.1381,1.0,2.0,1.4809202348993614e-07,2,-5.25491602893193
MCMBP,DR,HK_v2,3.1839,-3.2204,1.0,2.0,0.000680560271613038,2,3.397293112926649
MFAP1,DN,44 Non-Candidate,,3.2953,,1.0,0.0009831665943134873,1,3.2952999999999992
MFAP1,DPN,44 Non-Candidate,,-1.1947,,1.0,0.2322042624659385,1,-1.1947
MFAP1,DR,44 Non-Candidate,,3.4332,,1.0,0.0005965019136714304,1,3.4331999999999994
MYH9,DN,44 Non-Candidate,-0.2435,,2.0,,0.8076180851085512,1,-0.24349999999999994
MYH9,DPN,44 Non-Candidate,-0.5727,,2.0,,0.5668478374644073,1,-0.5726999999999998
MYH9,DR,44 Non-Candidate,1.2981,,2.0,,0.19425297432383354,1,1.2980999999999998
PAM,DN,30 T2DM Control,,-0.5945,,1.0,0.5521777422910252,1,-0.5944999999999998
PAM,DPN,30 T2DM Control,,-1.4359,,1.0,0.1510307985045856,1,-1.4358999999999997
PAM,DR,30 T2DM Control,,0.206,,1.0,0.8367909113052145,1,0.20599999999999996
PCBP2,DN,44 Non-Candidate,,-0.9323,,1.0,0.35118150773082596,1,-0.9322999999999999
PCBP2,DPN,44 Non-Candidate,,0.5974,,1.0,0.5502403537427233,1,0.5973999999999999
PCBP2,DR,44 Non-Candidate,,0.5645,,1.0,0.5724139001526789,1,0.5645
PDIA3,DN,44 Non-Candidate,7.8624,1.3674,1.0,2.0,3.768423882875611e-15,2,7.862400000000003
PDIA3,DPN,44 Non-Candidate,9.9541,1.0609,1.0,2.0,2.420025850270751e-23,2,9.9541
PDIA3,DR,44 Non-Candidate,13.5157,1.6521,1.0,2.0,1.263481472603541e-41,2,13.515699999999999
PDIA6,DN,44 Non-Candidate,,0.7765,,1.0,0.43745382081056555,1,0.7765
PDIA6,DPN,44 Non-Candidate,,0.1549,,1.0,0.8769001536473681,1,0.15489999999999987
PDIA6,DR,44 Non-Candidate,,0.1573,,1.0,0.8750084202588184,1,0.15729999999999988
PNN,DN,44 Non-Candidate,-5.1614,6.7058,1.0,2.0,2.0028954598432036e-11,2,-6.7058119314245985
PNN,DPN,44 Non-Candidate,-11.7588,-8.8228,1.0,2.0,6.363223396045853e-32,2,-11.758800000000004
PNN,DR,44 Non-Candidate,-9.5202,-15.6446,1.0,2.0,3.616343906916188e-55,2,-15.6446
