gene,ensg,trait,zscore,pvalue,n_snps_model,n_snps_matched,n_dropped,grp
VAT1,ENSG00000108828,DN,-0.2103,0.8334212629051257,1141,1047,94,Excluded_NonTestbed
VCP,ENSG00000165280,DN,0.2941,0.7686461328613227,985,936,49,Candidate
XRCC5,ENSG00000079246,DN,2.8802,0.0039744233774866135,381,370,11,Candidate
XRCC6,ENSG00000196419,DN,1.282,0.1998529643535098,512,495,17,Candidate
YWHAQ,ENSG00000134308,DN,-4.681,2.855472558322192e-06,422,398,24,Candidate
ACTB,ENSG00000075624,DPN,1.3009,0.1932861568410619,23,23,0,Candidate
ANKRD40,ENSG00000154945,DPN,1.9645,0.0494721090993931,137,130,7,HK_v2
ANXA1,ENSG00000135046,DPN,5.7086,1.1390698191626484e-08,1635,1572,63,NonCandidate
ANXA5,ENSG00000164111,DPN,-1.0043,0.3152530596182926,1769,1654,115,NonCandidate
AP3M1,ENSG00000185009,DPN,2.9126,0.0035842061261575223,863,823,40,HK_v2
ATG101,ENSG00000123395,DPN,2.5091,0.012103881987396332,161,156,5,HK_v2
C1QBP,ENSG00000108561,DPN,0.9636,0.33523273403942055,64,56,8,NonCandidate
CAMK1D,ENSG00000183049,DPN,-2.5799,0.009882585901036835,1402,1276,126,T2DM_Control
CCT3,ENSG00000163468,DPN,2.5588,0.010504832751257288,579,545,34,NonCandidate
CDKAL1,ENSG00000145996,DPN,-3.8137,0.00013689718177021116,820,779,41,T2DM_Control
CFDP1,ENSG00000153774,DPN,-0.2062,0.8366398805132783,1387,1317,70,HK_v2
CKAP4,ENSG00000136026,DPN,2.2955,0.021703316600163725,659,633,26,Candidate
CUL1,ENSG00000055130,DPN,-1.7893,0.0735672992574888,275,261,14,HK_v2
DCTN2,ENSG00000175203,DPN,2.9523,0.003153861334859591,233,219,14,HK_v2
DDX5,ENSG00000108654,DPN,7.0147,2.3036151702034465e-12,367,335,32,Candidate
DNAJC4,ENSG00000110011,DPN,-0.4042,0.6860569019673561,95,94,1,HK_v2
DUSP8,ENSG00000184545,DPN,-0.63,0.5286907877457139,316,298,18,T2DM_Control
E2F4,ENSG00000205250,DPN,3.066,0.002169368354709197,933,885,48,HK_v2
EEF2,ENSG00000167658,DPN,4.3195,1.564041908238304e-05,206,188,18,NonCandidate
EHD4,ENSG00000103966,DPN,1.6665,0.09560929722085884,1731,1631,100,NonCandidate
EIF4H,ENSG00000106682,DPN,-3.5981,0.00032058169381556155,156,150,6,Candidate
FIBP,ENSG00000172500,DPN,-3.045,0.002326530787639598,986,915,71,HK_v2
FTO,ENSG00000140718,DPN,1.5747,0.11533411808893208,415,406,9,T2DM_Control
GCKR,ENSG00000084734,DPN,,,0,0,0,T2DM_Control
GNA13,ENSG00000120063,DPN,2.7817,0.005408008151476509,215,196,19,NonCandidate
GOLGA3,ENSG00000090615,DPN,-0.1335,0.8937830748368505,947,778,169,HK_v2
GRB14,ENSG00000115290,DPN,-3.252,0.001145769208836089,239,231,8,T2DM_Control
H2AFV,ENSG00000105968,DPN,3.2699,0.0010757157925244838,265,248,17,Candidate
HHEX,ENSG00000152804,DPN,-4.5995,4.235566402654087e-06,1312,1243,69,T2DM_Control
HNRNPK,ENSG00000165119,DPN,-1.2789,0.20093520220924518,2,1,1,NonCandidate
HSP90AB1,ENSG00000096384,DPN,-2.0513,0.04024104161625565,21,21,0,Candidate
HSP90B1,ENSG00000166598,DPN,2.6535,0.007965173476926412,135,132,3,Candidate
HSPB1,ENSG00000106211,DPN,2.6011,0.009293565042750267,427,415,12,NonCandidate
HSPD1,ENSG00000144381,DPN,,,0,0,0,NonCandidate
ILF2,ENSG00000143621,DPN,-1.5578,0.11928914723265817,153,140,13,Candidate
JAZF1,ENSG00000153814,DPN,-1.6458,0.09981111178480166,869,816,53,T2DM_Control
KCNJ11,ENSG00000187486,DPN,2.2107,0.027054716897218105,467,448,19,T2DM_Control
KDM4B,ENSG00000127663,DPN,5.8862,3.950733076726424e-09,706,658,48,HK_v2
KLF14,ENSG00000266265,DPN,,,0,0,0,T2DM_Control
LSM12,ENSG00000161654,DPN,-2.9759,0.002921411925028046,90,87,3,HK_v2
MAPK1IP1L,ENSG00000168175,DPN,-1.3931,0.163587337668577,88,80,8,HK_v2
MCMBP,ENSG00000197771,DPN,-2.0077,0.04467543743345876,1577,1479,98,HK_v2
MFAP1,ENSG00000140259,DPN,-1.6017,0.10922057946707779,833,773,60,NonCandidate
MYH9,ENSG00000100345,DPN,1.9131,0.05573021619194115,391,365,26,NonCandidate
NCL,ENSG00000115053,DPN,1.42,0.15560408354538802,515,496,19,NonCandidate
PAM,ENSG00000145730,DPN,-3.1869,0.0014379464795107944,5032,4670,362,T2DM_Control
PCBP2,ENSG00000197111,DPN,,,0,0,0,NonCandidate
PDIA3,ENSG00000167004,DPN,-0.0757,0.939656295467629,417,394,23,NonCandidate
PDIA6,ENSG00000143870,DPN,1.3425,0.17942719792052533,590,565,25,NonCandidate
PNN,ENSG00000100941,DPN,-9.7507,1.831720668526676e-22,825,758,67,NonCandidate
PPARG,ENSG00000132170,DPN,1.0101,0.31243418133119866,1511,1431,80,T2DM_Control
PSMC1,ENSG00000100764,DPN,1.3983,0.1620363268278186,159,155,4,HK_v2
PUF60,ENSG00000179950,DPN,5.4394,5.344835561313559e-08,20,20,0,NonCandidate
RABGGTB,ENSG00000137955,DPN,6.585,4.54810073282878e-11,1238,1150,88,HK_v2
RBX1,ENSG00000100387,DPN,,,0,0,0,HK_v2
RNF181,ENSG00000168894,DPN,0.6511,0.5149980418039192,155,150,5,HK_v2
RNH1,ENSG00000023191,DPN,9.5017,2.065359899948672e-21,898,726,172,Candidate
RNPS1,ENSG00000205937,DPN,1.4052,0.1599573638774818,261,246,15,HK_v2
RPL10A,ENSG00000198755,DPN,2.4027,0.01627347753119393,1460,1408,52,NonCandidate
