Gene,Trait,Tissue,Group,Z_eQTLGen,P_eQTLGen,n_SNPs_Model,n_SNPs_Matched
ARAP1,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,-3.3378,0.0008444656330142131,131,131
RPS3,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-4.281,1.86025332280515e-05,22,22
SERPINH1,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,0.5738,0.566131453496876,300,292
RPS25,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,8.4571,0.0,157,153
HSPA8,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-12.1915,0.0,250,240
GAPDH,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,13.8765,0.0,470,443
HSP90B1,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-2.9119,0.003592197240084971,23,23
CKAP4,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,7.008,2.417621658423741e-12,460,448
RPLP0,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,4.8991,9.628790316185132e-07,69,63
PNN,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-34.8579,0.0,675,630
EHD4,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,2.7273,0.006385935848638891,1209,1155
PDIA3,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-3.6156,0.00029965490030448017,357,343
MFAP1,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-2.5355,0.011227707707659462,635,594
FTO,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,9.4061,0.0,238,234
RPL13,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,0.4612,0.6446751057846596,1331,1165
C1QBP,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,1.5695,0.11652551286618662,10,6
SLC16A11,DPN,eQTLGen_Whole_Blood,30_T2DM_Control,-1.3436,0.179075743363875,37,37
EIF4A1,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,1.9419,0.05215489160585807,2,2
RPL23A,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-1.276,0.2019705939895291,8,8
VAT1,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-24.4594,0.0,940,866
DDX5,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,6.9324,4.136468945148408e-12,281,257
GNA13,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,0.9145,0.3604744386525973,163,146
RPL17,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-3.0482,0.0023018596137935887,1035,973
EEF2,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,3.7826,0.00015517060822300976,156,144
ILF3,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,5.5197,3.3965943391223163e-08,18,17
TPM4,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,0.9397,0.3473560557104718,75,74
UBA52,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-3.0292,0.0024520982684643755,536,500
RPS16,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-1.8268,0.06772591023885433,311,301
RPL13A,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,9.393,0.0,548,504
RRBP1,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-2.1606,0.030727376902233594,385,375
MYH9,DPN,eQTLGen_Whole_Blood,44_NonCandidate_HOTAIR,-1.0188,0.30828456800645454,315,299
XRCC6,DPN,eQTLGen_Whole_Blood,30_HOTAIR_Candidate,-1.1529,0.24896475378563565,69,64
